,,,,,,,,,,,,,,
LAPORAN INVENTARIS OUTLET  TAHUN 2026,,,,,,,,,,,,,,
PT GADAI SEJAHTERA INDONESIA,,,,,,,,,,,,,,
ALL OUTLET ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DAFTAR ASSET/INVENTARIS  ,,,,,,,,,,,,,,
No.,KODE ASET,KATEGORI,NAMA BARANG,KETERANGAN SPESIFIK BARANG,JUMLAH,HARGA PEROLEHAN / UNIT,TOTAL PEROLEHAN,WAKTU PEROLEHAN,LOKASI, KONDISI, MASA MANFAAT (TH),,,BEBAN PENYUSUTAN
1,INV-KP/EL/001,ELEKTRONIK,MONITOR, MONITOR PC 1 (ASUS),1,"500,000"," Rp 500,000 ",,KP,,,,,0
2,INV-KP/EL/002,ELEKTRONIK,MONITOR, MONITOR PC 2 (ASUS),1,"500,000"," Rp 500,000 ",,KP,,,,,0
3,INV-KP/EL/003,ELEKTRONIK,MONITOR, MONITOR PC 3 (ASUS),1,"500,000"," Rp 500,000 ",,KP,,,,,0
4,INV-KP/EL/004,ELEKTRONIK,RPINTER, PRINTER EPSON L3250,1,"2,500,000"," Rp 2,500,000 ",,KP,,3,,,"833,333"
5,INV-KP/EL/005,ELEKTRONIK,LAPTOP, LAPTOP ACER ASPIRE 3 A314 SERIES,1,"2,500,000"," Rp 2,500,000 ",,KP,,3,,,"833,333"
6,INV-KP/EL/006,ELEKTRONIK,LAPTOP, LAPTOP MSI,1,"5,300,000"," Rp 5,300,000 ",,KP,,3,,,"1,766,667"
7,INV-KP/EL/007,ELEKTRONIK,LAPTOP, LAPTOP HP PENAKSIR,1,"2,000,000"," Rp 2,000,000 ",,KP,,3,,,"666,667"
8,INV-KP/EL/008,ELEKTRONIK,AC, AC 1PK DAIKIN,1,"1,500,000"," Rp 1,500,000 ",,KP,,8,,,"187,500"
9,,ATK,CUTTER, TIDAK ADA,,, Rp - ,-,TR,-,-,,,0
10,INV-KP/EL/009,ELEKTRONIK,KEYBOARD, KEYBOARD BUFFTEC 1,1,"50,000"," Rp 50,000 ",,KP,,,,,0
11,INV-KP/EL/010,ELEKTRONIK,KEYBOARD, KEYBOARD BUFFTEC 2,1,"50,000"," Rp 50,000 ",,KP,,,,,0
12,INV-KP/EL/011,ELEKTRONIK,KEYBOARD, KEYBOARD BUFFTEC 3,1,"50,000"," Rp 50,000 ",,KP,,,,,0
13,INV-KP/EL/012,ELEKTRONIK,JAM, JAM DINDING,1,"30,000"," Rp 30,000 ",,KP,,,,,0
14,INV-KP/EL/013,ELEKTRONIK,ELEKTRONIK, CPU ASUSPRO 1,1,"1,500,000"," Rp 1,500,000 ",,KP,,3,,,"500,000"
15,INV-KP/EL/014,ELEKTRONIK,ELEKTRONIK, CPU ASUSPRO 2,1,"1,500,000"," Rp 1,500,000 ",,KP,,3,,,"500,000"
16,INV-KP/EL/015,ELEKTRONIK,ELEKTRONIK, CPU ASUSPRO 3,1,"1,500,000"," Rp 1,500,000 ",,KP,,3,,,"500,000"
17,INV-KP/EL/016,ELEKTRONIK,MOUSE, MOUSE LOGITECH 1,1,"50,000"," Rp 50,000 ",,KP,,,,,0
18,INV-KP/EL/017,ELEKTRONIK,MOUSE, MOUSE LOGITECH 2,1,"50,000"," Rp 50,000 ",,KP,,,,,0
19,INV-KP/EL/018,ELEKTRONIK,MOUSE, MOUSE LENOVO 3,1,"50,000"," Rp 50,000 ",,KP,,,,,0
20,INV-KP/EL/019,ELEKTRONIK,, DISPENSER NIKO,1,"500,000"," Rp 500,000 ",,KP,,,,,0
21,INV-KP/EL/020,ELEKTRONIK,, MONEY COUNTER TISSOR,1,"500,000"," Rp 500,000 ",,KP,,,,,0
22,INV-KP/EL/021,ELEKTRONIK,, PENGHANCUR KERTAS SHREDDER,1,"200,000"," Rp 200,000 ",,KP,,,,,0
23,INV-KP/EL/022,ELEKTRONIK,ELEKTRONIK,KIPAS AC PORTABLE SHARP,1,"1,000,000"," Rp 1,000,000 ",,KP,,3,,,"333,333"
24,INV-KP/EL/023,ELEKTRONIK,ELEKTRONIK,TV AQUOS 40INC + BRAKET TV,1,"2,000,000"," Rp 2,000,000 ",,KP,,3,,,"666,667"
25,INV-KP/EL/024,ELEKTRONIK,ELEKTRONIK,TV SHARP 50INC + BRAKET TV,1,"3,000,000"," Rp 3,000,000 ",,KP,,3,,,"1,000,000"
26,INV-KP/EL/025,ELEKTRONIK,,KALKULATOR JOYKO CC-868,1,"25,000"," Rp 25,000 ",,KP,,,,,0
27,INV-KP/EL/026,ELEKTRONIK,,KALKULATOR JOYKO DTC-1313CH,1,"25,000"," Rp 25,000 ",,KP,,,,,0
28,INV-KP/EL/027,ELEKTRONIK,,KALKULATOR CITIZEN 1,1,"16,000"," Rp 16,000 ",,KP,,,,,0
29,INV-KP/EL/028,ELEKTRONIK,,KALKULATOR CITIZEN 2,1,"16,000"," Rp 16,000 ",,KP,,,,,0
30,INV-KP/EL/029,ELEKTRONIK,,KALKULATOR CITIZEN 3,1,"16,000"," Rp 16,000 ",,KP,,,,,0
31,INV-KP/EL/030,ELEKTRONIK,,SPEAKER BLUETOOTH COMSON,1,"50,000"," Rp 50,000 ",,KP,,,,,0
32,INV-KP/EL/031,ELEKTRONIK,,CCTV 1,1,"100,000"," Rp 100,000 ",,KP,,,,,0
33,INV-KP/EL/032,ELEKTRONIK,,CCTV 2,1,"100,000"," Rp 100,000 ",,KP,,,,,0
34,INV-KP/EL/033,ELEKTRONIK,,CCTV 3,1,"100,000"," Rp 100,000 ",,KP,,,,,0
35,INV-KP/EL/034,ELEKTRONIK,,STOP KONTAK 6 LUBANG 1,1,"10,000"," Rp 10,000 ",,KP,,,,,0
36,INV-KP/EL/035,ELEKTRONIK,,STOP KONTAK 6 LUBANG 2,1,"15,000"," Rp 15,000 ",,KP,,,,,0
